Trust_Code;Trust_Name;Expected;Final;Completion;Cleaned;Service_User_Survey;Therapist Questionnaire;18-25;26-35;36-45;46-55;56-65;>65;Male;Female;Nonbinary_other;Unknown_not_documented;White;Mixed;Asian;Black;Other;Ethnicity_Unknown;Declined;Employed_less_than_16 hrs;Employed_16+;Homemaker;Long_term_sick;No_benefits_or_work;Retired;Student;Unemployed_seeking work;Unpaid_voluntary;Declined4;Employment_Unknown;Mainstream_housing;Criminal_Justice;Housing_with_mental_health ;Other_care_support;Acute_long stay;Homeless;Sheltered;Other5;Declined_to_answer;Accom_Unknown_not doc;Sexual_orientation_recorded;Heterosexual;Gay_lesbian;Bisexual;Other;Sexual_orien_Unknown_not_documented;Sexual Orien Declined to answer;Behavioural and emotional disability;Progressive conditions and physical health ;Mobility and gross motor disability ;Memory, ability to learn, concentrate or understand;Personal, self-care and continence;Hearing_disability;Sight_disability ;Manual dexterity;Perception_of_physical_danger;Speech_disability ;Other;Bipolar_problem;BDD_problem;Depression_problem;Eating_disorder_problem;GAD;Mixed a&D_problem;OCD_problem;PanicDisorder_problem;PD_problem;PTSD_problem;Specific_phobia_problem;Socialphob_problem;Other Anx_problem;Otherdiag_problem;Unknown_problem;Depressive_episode (F32);"Recurrent depressive disorder (F33); persistent mood [affective] disorders (F34); other mood [affective] disorders (F38, F39)";"Phobic_anxiety disorders (F40); other anxiety disorders (F41); obsessive-compulsive disorder (F42)";Reaction_to_severe_stress_and_adjustment_disordersF43;Disorders of adult personality and behaviour (F60-69)?;Behavioural syndromes associated with physiological disturbances and physical factors (F50 - F59)   ?;Mental and behavioural disorders due to psychoactive substance use (F10-F19)   ?;Bipolar_disorderF31;Other diagnoses not listed above     ?;Unknown/ not documented;Age not doc;Gender not doc;Ethnicity not doc;Accommodation not doc;Employment not doc;Disability not doc;Sexual orientation not doc;Started therapy within 18 weeks;Started therapy btw 19-26 weeks;Started therapy btw 27-52 weeks;Started therapy btw 53-104 weeks;Started therapy 105 weeks plus;% above 18 weeks;Avg wait for therapy (days);;into weeks;% Agree wait time reasonable;% disagree wait time reasonable;% Receiving NICE therapy ;Avg number of sessions;% Agree enough info about therapy;% Disagree enough info about therapy;% Agree where info is kept;% disagreewhere info is kept;Choice Type of therapy  ;Not enough  choice;No choice;Choice venue of therapy;Not enough  choice venue;No choice venue;Choice gender of therapist;Not enough choice gender;No choice gender;Choice of language therapy;Not enough choice language;No choice  language;Appt convenient day/time Agree;Appt convenient day/time Disagree;Appt location difficulty Agree;Appt location difficulty Disagree;Referred therapy right time Agree;Referred therapy right time disagree;Experience empathy Agree;Experience empathy Disagree;Needs taken seriously Agree;Needs taken seriously Disagree;Agreed goals Agree ;Agreed goals Disagree;Discussed previous therapy Agree;Discussed previous therapy Disagree;Discussed overall care Agree;Discussed overall care Disagree;Helped understand difficulties Agree;Helped understand difficulties Disagree;Helped cope with diffculties Agree;Helped cope with diffculties Disagree;Therapy right kind of help Agree;Therapy right kind of help Disagree;Right no. sessions Agreed;Right no. sessions Disagree;Lasting_bad_effects_Agree;Lasting_bad_effect_Disagree;Outcome_measure_used_at_least_once;Outcome measure used more than once;Discussed_progress_with_therapist;Didn’t discuss progress during treatment;therapist agrees supervision received is sufficient;therapist supervises other therapists;therapist trained to supervise others;therapists recieiving individual supervision;therapists receiving group supervision;therapists receiving both supervision;therapists receiving no supervision;therapist1+ therapy type no formal training;therapist_agreeing_that_cpd_is_sufficient
NQL;NAVIGO;30;30;100%;28;2;7;11% (3/28);18% (5/28);18% (5/28);14% (4/28);14% (4/28);25% (7/28);18% (5/28);82% (23/28);0% (0/28);0% (0/28);100% (28/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);4% (1/28);14% (4/28);4% (1/28);25% (7/28);0% (0/28);25% (7/28);4% (1/28);4% (1/28);7% (2/28);0% (0/28);14% (4/28);64% (18/28);0% (0/28);7% (2/28);4% (1/28);0% (0/28);0% (0/28);7% (2/28);0% (0/28);0% (0/28);18% (5/28);89% (25/28);82% (23/28);7% (2/28);0% (0/28);0% (0/28);11% (3/28);0% (0/28);47% (9/19);58% (11/19);0% (0/19);32% (6/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);5% (1/19);4% (1/28);0% (0/28);14% (4/28);0% (0/28);0% (0/28);18% (5/28);4% (1/28);0% (0/28);0% (0/28);32% (9/28);0% (0/28);0% (0/28);11% (3/28);18% (5/28);0% (0/28);11% (3/28);18% (5/28);18% (5/28);25% (7/28);0% (0/28);0% (0/28);0% (0/28);4% (1/28);25% (7/28);0% (0/28);0% (0/28);0% (0/28);0% (0/28);18% (5/28);14% (4/28);0% (0/28);11% (3/28);69% (18/26);12% (3/26);19% (5/26);0% (0/26);0% (0/26);31% (8/26);112;16;16 weeks;100% (1/1);0% (0/1);86% (12/14);8;50% (1/2);50% (1/2);100% (2/2);0% (0/2);100% (1/1);0% (0/1);0% (0/1);100% (1/1);0% (0/1);0% (0/1);50% (1/2);0% (0/2);50% (1/2);0% (0/0);0% (0/0);0% (0/0);100% (2/2);0% (0/2);50% (1/2);0% (0/2);100% (1/1);0% (0/1);100% (2/2);0% (0/2);100% (2/2);0% (0/2);50% (1/2);0% (0/2);100% (2/2);0% (0/2);50% (1/2);50% (1/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);50% (1/2);50% (1/2);50% (1/2);50% (1/2);0% (0/2);100% (2/2);82% (23/28);29% (8/28);100% (2/2);0% (0/2);86% (6/7);29% (2/7);100% (2/2);43% (3/7);14% (1/7);43% (3/7);0% (0/7);29% (2/7);100% (7/7)
NR5;LIVEWELL SOUTHWEST;82;80;98%;79;11;16;9% (7/79);20% (16/79);28% (22/79);15% (12/79);8% (6/79);20% (16/79);34% (27/79);66% (52/79);0% (0/79);0% (0/79);96% (76/79);1% (1/79);0% (0/79);1% (1/79);0% (0/79);1% (1/79);0% (0/79);1% (1/79);14% (11/79);0% (0/79);35% (28/79);5% (4/79);20% (16/79);3% (2/79);5% (4/79);3% (2/79);5% (4/79);9% (7/79);58% (46/79);0% (0/79);1% (1/79);4% (3/79);0% (0/79);0% (0/79);0% (0/79);6% (5/79);1% (1/79);29% (23/79);68% (54/79);62% (49/79);5% (4/79);1% (1/79);0% (0/79);32% (25/79);0% (0/79);28% (15/53);6% (3/53);8% (4/53);6% (3/53);11% (6/53);0% (0/53);6% (3/53);4% (2/53);0% (0/53);0% (0/53);9% (5/53);5% (4/79);0% (0/79);24% (19/79);0% (0/79);18% (14/79);5% (4/79);3% (2/79);0% (0/79);15% (12/79);20% (16/79);0% (0/79);0% (0/79);0% (0/79);10% (8/79);0% (0/79);20% (14/70);9% (6/70);14% (10/70);19% (13/70);24% (17/70);0% (0/70);0% (0/70);11% (8/70);3% (2/70);11% (9/79);0% (0/79);0% (0/79);1% (1/79);29% (23/79);9% (7/79);34% (27/79);32% (25/79);68% (45/66);9% (6/66);14% (9/66);8% (5/66);2% (1/66);32% (21/66);132;19;19 weeks;64% (7/11);18% (2/11);49% (25/51);14,93;50% (5/10);40% (4/10);27% (3/11);64% (7/11);14% (1/7);14% (1/7);71% (5/7);0% (0/4);50% (2/4);50% (2/4);0% (0/5);20% (1/5);80% (4/5);100% (1/1);0% (0/1);0% (0/1);73% (8/11);9% (1/11);82% (9/11);9% (1/11);80% (8/10);20% (2/10);73% (8/11);9% (1/11);73% (8/11);27% (3/11);64% (7/11);9% (1/11);46% (5/11);36.4% (4/11);46% (5/11);36% (4/11);73% (8/11);27% (3/11);55% (6/11);18% (2/11);73% (8/11);9% (1/11);27% (3/11);55% (6/11);10% (1/10);80% (8/10);44% (35/79);37% (29/79);55% (6/11);18% (2/11);67% (10/15);63% (10/16);90% (9/10);69% (11/16);0% (0/16);25% (4/16);6% (1/16);50% (8/16);53% (8/15)
R1A;WORCESTERSHIRE HEALTH AND CARE NHS TRUST;30;30;100%;30;6;16;40% (12/30);23% (7/30);17% (5/30);7% (2/30);13% (4/30);0% (0/30);27% (8/30);73% (22/30);0% (0/30);0% (0/30);97% (29/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);10% (3/30);10% (3/30);0% (0/30);33% (10/30);3% (1/30);0% (0/30);7% (2/30);10% (3/30);0% (0/30);0% (0/30);27% (8/30);63% (19/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);23% (7/30);13% (4/30);10% (3/30);3% (1/30);0% (0/30);0% (0/30);87% (26/30);0% (0/30);36% (8/22);0% (0/22);0% (0/22);0% (0/22);0% (0/22);0% (0/22);0% (0/22);0% (0/22);0% (0/22);0% (0/22);5% (1/22);10% (3/30);0% (0/30);7% (2/30);7% (2/30);0% (0/30);13% (4/30);3% (1/30);0% (0/30);23% (7/30);10% (3/30);0% (1/30);3% (1/30);3% (1/30);17% (5/30);3% (1/30);15% (4/26);0% (0/26);15% (4/26);8% (2/26);42% (11/26);4% (1/26);4% (1/26);8% (2/26);4% (1/26);13% (4/30);0% (0/30);0% (0/30);3% (1/30);23% (7/30);27% (8/30);43% (13/30);87% (26/30);42% (10/24);4% (1/24);38% (9/24);17% (4/24);0% (0/24);58% (14/24);234;33;33 weeks;33% (2/6);50% (3/6);71% (5/7);14;50% (3/6);33% (2/6);50% (3/6);33% (2/6);25% (1/4);50% (2/4);25% (1/4);20% (1/5);40% (2/5);40% (2/5);25% (1/4);0% (0/4);75% (3/4);0% (0/0);0% (0/0);0% (0/0);83% (5/6);0% (0/6);83% (5/6);0% (0/6);33% (2/6);50% (3/6);83% (5/6);17% (1/6);50% (3/6);17% (1/6);100% (6/6);0% (0/6);67% (4/6);16.7% (1/6);67% (4/6);0% (0/6);67% (4/6);17% (1/6);50% (3/6);17% (1/6);50% (3/6);33% (2/6);20% (1/5);40% (2/5);20% (1/5);40% (2/5);50% (15/30);33% (10/30);67% (4/6);33% (2/6);100% (16/16);38% (6/16);100% (6/6);50% (8/16);0% (0/16);50% (8/16);0% (0/16);63% (10/16);50% (8/16)
R1C;SOLENT NHS TRUST;30;27;90%;27;2;10;41% (11/27);26% (7/27);19% (5/27);15% (4/27);0% (0/27);0% (0/27);15% (4/27);85% (23/27);0% (0/27);0% (0/27);48% (13/27);4% (1/27);0% (0/27);0% (0/27);0% (0/27);48% (13/27);0% (0/27);7% (2/27);26% (7/27);0% (0/27);26% (7/27);0% (0/27);0% (0/27);15% (4/27);0% (0/27);4% (1/27);0% (0/27);22% (6/27);67% (18/27);0% (0/27);0% (0/27);7% (2/27);0% (0/27);0% (0/27);4% (1/27);4% (1/27);0% (0/27);19% (5/27);19% (5/27);19% (5/27);0% (0/27);0% (0/27);0% (0/27);82% (22/27);0% (0/27);30% (6/20);5% (1/20);0% (0/20);0% (0/20);5% (1/20);0% (0/20);5% (1/20);0% (0/20);0% (0/20);0% (0/20);0% (0/20);4% (1/27);0% (0/27);4% (1/27);4% (1/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);59% (16/27);4% (1/27);0% (0/27);0% (0/27);0% (0/27);26% (7/27);0% (0/27);12% (3/25);4% (1/25);8% (2/25);8% (2/25);60% (15/25);0% (0/25);0% (0/25);8% (2/25);0% (0/25);7% (2/27);0% (0/27);0% (0/27);48% (13/27);19% (5/27);22% (6/27);48% (13/27);82% (22/27);50% (7/14);7% (1/14);36% (5/14);7% (1/14);0% (0/14);50% (7/14);197;28;28 weeks;100% (2/2);0% (0/2);100% (2/2);7,97;100% (2/2);0% (0/2);50% (1/2);0% (0/2);100% (2/2);0% (0/2);0% (0/2);100% (2/2);0% (0/2);0% (0/2);100% (1/1);0% (0/1);0% (0/1);0% (0/0);0% (0/0);0% (0/0);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (1/1);0% (0/1);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);100% (2/2);0% (0/2);0% (0/2);50% (1/2);41% (11/27);22% (6/27);50% (1/2);0% (0/2);100% (9/9);40% (4/10);100% (4/4);0% (0/10);70% (7/10);30% (3/10);0% (0/10);40% (4/10);89% (8/9)
R1L;ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST;90;90;100%;86;0;42;19% (16/86);30% (26/86);12% (10/86);14% (12/86);14% (12/86);12% (10/86);41% (35/86);59% (51/86);0% (0/86);0% (0/86);95% (82/86);0% (0/86);0% (0/86);1% (1/86);0% (0/86);4% (3/86);0% (0/86);5% (4/86);14% (12/86);4% (3/86);13% (11/86);4% (3/86);11% (9/86);4% (3/86);11% (9/86);2% (2/86);1% (1/86);34% (29/86);76% (65/86);0% (0/86);1% (1/86);1% (1/86);0% (0/86);1% (1/86);1% (1/86);1% (1/86);0% (0/86);19% (16/86);70% (60/86);67% (58/86);2% (2/86);0% (0/86);0% (0/86);27% (23/86);4% (3/86);82% (60/73);3% (2/73);4% (3/73);0% (0/73);0% (0/73);4% (3/73);4% (3/73);0% (0/73);0% (0/73);0% (0/73);0% (0/73);7% (6/86);1% (1/86);19% (16/86);0% (0/86);4% (3/86);15% (13/86);8% (7/86);1% (1/86);23% (20/86);14% (12/86);0% (0/86);0% (0/86);1% (1/86);7% (6/86);0% (0/86);11% (9/79);13% (10/79);23% (18/79);17% (13/79);28% (22/79);0% (0/79);1% (1/79);6% (5/79);1% (1/79);8% (7/86);0% (0/86);0% (0/86);4% (3/86);19% (16/86);34% (29/86);11% (9/86);27% (23/86);71% (59/83);5% (4/83);15% (12/83);10% (8/83);0% (0/83);29% (24/83);107;15;15 weeks;-;-;44% (17/39);8,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36% (31/86);26% (22/86);-;-;84% (31/37);60% (25/42);88% (22/25);55% (23/42);7% (3/42);29% (12/42);10% (4/42);48% (20/42);84% (31/37)
RAT;NORTH EAST LONDON NHS FOUNDATION TRUST;143;69;48%;69;21;18;17% (12/69);23% (16/69);22% (15/69);23% (16/69);13% (9/69);1% (1/69);30% (21/69);68% (47/69);1% (1/69);0% (0/69);75% (52/69);9% (6/69);7% (5/69);6% (4/69);3% (2/69);0% (0/69);0% (0/69);3% (2/69);23% ( /69);7% (5/69);35% (24/69);3% (2/69);3% (2/69);4% (3/69);9% (6/69);1% (1/69);0% (0/69);12% (8/69);80% (55/69);0% (0/69);1% (1/69);6% (4/69);0% (0/69);1% (1/69);0% (0/69);4% (3/69);0% (0/69);7% (5/69);84% (58/69);83% (57/69);0% (0/69);0% (0/69);1% (1/69);13% (9/69);3% (2/69);8% (2/24);17% (4/24);8% (2/24);17% (4/24);0% (0/24);0% (0/24);0% (0/24);0% (0/24);0% (0/24);0% (0/24);4% (1/24);0% (0/69);0% (0/69);26% (18/69);0% (0/69);0% (0/69);32% (22/69);1% (1/69);1% (1/69);20% (14/69);7% (5/69);0% (2/69);3% (2/69);0% (0/69);7% (5/69);1% (1/69);11% (6/55);22% (12/55);31% (17/55);4% (2/55);29% (16/55);2% (1/55);0% (0/55);2% (1/55);0% (0/55);20% (14/69);0% (0/69);0% (0/69);0% (0/69);7% (5/69);12% (8/69);16% (11/69);13% (9/69);25% (17/69);13% (9/69);45% (31/69);16% (11/69);1% (1/69);75% (52/69);243;35;35 weeks;43% (9/21);52% (11/21);63% (17/27);14,75;67% (14/21);19% (4/21);60% (12/20);25% (5/20);62% (8/13);15% (2/13);23% (3/13);44% (4/9);33% (3/9);22% (2/9);38% (3/8);25% (2/8);38% (3/8);100% (1/1);0% (0/1);0% (0/1);81% (17/21);19% (4/21);76% (16/21);10% (2/21);60% (12/20);30% (6/20);91% (19/21);10% (2/21);81% (17/21);14% (3/21);81% (17/21);14% (3/21);86% (18/21);9.5% (2/21);76% (16/21);14% (3/21);86% (18/21);10% (2/21);86% (18/21);14% (3/21);76% (16/21);19% (4/21);67% (14/21);19% (4/21);5% (1/20);80% (16/20);59% (41/69);32% (22/69);65% (13/20);15% (3/20);82% (14/17);72% (13/18);77% (10/13);39% (7/18);33% (6/18);17% (3/18);11% (2/18);33% (6/18);63% (10/16)
RCP;QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST;30;4;13%;4;5;0;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;0% (0/4);0% (0/4);50% (2/4);50% (2/4);0% (0/4);100% (4/4);426;61;61 weeks;40% (2/5);40% (2/5);0% (0/0);8;60% (3/5);20% (1/5);40% (2/5);40% (2/5);50% (1/2);0% (0/2);50% (1/2);0% (0/3);0% (0/3);100% (3/3);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);60% (3/5);20% (1/5);40% (2/5);40% (2/5);80% (4/5);20% (1/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);60% (3/5);0% (0/5);20% (1/5);40% (2/5);80% (4/5);0% (0/5);60% (3/5);20% (1/5);80% (4/5);0% (0/5);60% (3/5);20% (1/5);0% (0/5);100% (5/5);100% (4/4);100% (4/4);40% (2/5);20% (1/5);-;-;-;-;-;-;-;-;-
RDY;DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST;59;36;64%;35;5;9;20% (7/35);14% (5/35);9% (3/35);6% (2/35);3% (1/35);49% (17/35);34% (12/35);66% (23/35);0% (0/35);0% (0/35);83% (29/35);3% (1/35);0% (0/35);3% (1/35);3% (1/35);9% (3/35);0% (0/35);3% (1/35);0% (0/35);0% (0/35);6% (2/35);0% (0/35);29% (10/35);0% (0/35);0% (0/35);0% (0/35);0% (0/35);63% (22/35);31% (11/35);0% (0/35);0% (0/35);0% (0/35);0% (0/35);0% (0/35);0% (0/35);0% (0/35);0% (0/35);69% (24/35);23% (8/35);23% (8/35);0% (0/35);0% (0/35);0% (0/35);77% (27/35);0% (0/35);4% (1/27);4% (1/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);0% (0/27);3% (1/35);3% (1/35);14% (5/35);0% (0/35);9% (3/35);23% (8/35);0% (0/35);0% (0/35);6% (2/35);11% (4/35);9% (1/35);3% (1/35);11% (4/35);9% (3/35);0% (0/35);9% (3/35);11% (4/35);51% (18/35);6% (2/35);11% (4/35);3% (1/35);0% (0/35);3% (1/35);6% (2/35);0% (0/35);0% (0/35);0% (0/35);9% (3/35);69% (24/35);63% (22/35);71% (25/35);77% (27/35);71% (25/35);20% (7/35);9% (3/35);0% (0/35);0% (0/35);29% (10/35);85;12;12 weeks;100% (4/4);0% (0/4);92% (12/13);14,3;50% (2/4);50% (2/4);60% (3/5);20% (1/5);75% (3/4);25% (1/4);0% (0/4);50% (2/4);25% (1/4);25% (1/4);50% (2/4);25% (1/4);25% (1/4);50% (1/2);50% (1/2);0% (0/2);80% (4/5);0% (0/5);80% (4/5);0% (0/5);80% (4/5);0% (0/5);80% (4/5);0% (0/5);80% (4/5);0% (0/5);80% (4/5);0% (0/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);80% (4/5);20% (1/5);60% (3/5);0% (0/5);80% (4/5);0% (0/5);80% (4/5);20% (1/5);20% (1/5);60% (3/5);31% (11/35);11% (4/35);60% (3/5);20% (1/5);78% (7/9);78% (7/9);86% (6/7);67% (6/9);11% (1/9);11% (1/9);11% (1/9);67% (6/9);89% (8/9)
RGD;LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST;124;116;94%;111;39;34;11% (12/111);23% (25/111);16% (18/111);16% (18/111);12% (13/111);23% (25/111);28% (31/111);72% (80/111);0% (0/111);0% (0/111);89% (99/111);2% (2/111);2% (2/111);0% (0/111);1% (1/111);6% (7/111);0% (0/111);7% (8/111);20% (22/111);5% (5/111);16% (18/111);1% (1/111);23% (25/111);4% (4/111);5% (5/111);2% (2/111);2% (2/111);17% (19/111);77% (85/111);0% (0/111);1% (1/111);1% (1/111);0% (0/111);0% (0/111);1% (1/111);2% (2/111);0% (0/111);19% (21/111);55% (61/111);51% (57/111);3% (3/111);1% (1/111);0% (0/111);45% (50/111);0% (0/111);4% (3/77);9% (7/77);8% (6/77);1% (1/77);3% (2/77);1% (1/77);0% (0/77);1% (1/77);0% (0/77);1% (1/77);1% (1/77);0% (0/111);0% (0/111);23% (25/111);0% (0/111);5% (6/111);28% (31/111);5% (5/111);0% (0/111);4% (4/111);13% (14/111);0% (0/111);0% (0/111);2% (2/111);20% (22/111);2% (2/111);32% (32/100);5% (5/100);36% (36/100);12% (12/100);7% (7/100);0% (0/100);0% (0/100);4% (4/100);4% (4/100);10% (11/111);0% (0/111);0% (0/111);6% (7/111);19% (21/111);17% (19/111);53% (59/111);45% (50/111);61% (60/98);18% (18/98);15% (15/98);5% (5/98);0% (0/98);39% (38/98);120;17;17 weeks;58% (22/38);26% (10/38);70% (35/50);15,56;71% (27/38);24% (9/38);56% (20/36);22% (8/36);59% (16/27);11% (3/27);30% (8/27);50% (9/18);6% (1/18);44% (8/18);31% (5/16);19% (3/16);50% (8/16);0% (0/0);0% (0/0);0% (0/0);97% (38/39);3% (1/39);90% (34/38);11% (4/38);67% (26/39);26% (10/39);97% (38/39);3% (1/39);97% (38/39);3% (1/39);86% (31/36);6% (2/36);81% (30/37);5.4% (2/37);69% (24/35);9% (3/35);89% (33/37);5% (2/37);90% (34/38);8% (3/38);85% (33/39);10% (4/39);54% (21/39);39% (15/39);5% (2/39);82% (32/39);54% (60/111);31% (34/111);82% (32/39);5% (2/39);94% (31/33);59% (20/34);95% (19/20);65% (22/34);15% (5/34);21% (7/34);0% (0/34);44% (15/34);64% (21/33)
RH5;SOMERSET PARTNERSHIP NHS FOUNDATION TRUST;30;30;100%;30;5;20;40% (12/30);17% (5/30);27% (8/30);13% (4/30);0% (0/30);3% (1/30);33% (10/30);67% (20/30);0% (0/30);0% (0/30);87% (26/30);7% (2/30);0% (0/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);3% (1/30);27% (8/30);0% (0/30);17% (5/30);3% (1/30);7% (2/30);3% (1/30);33% (10/30);0% (0/30);0% (0/30);7% (2/30);100% (30/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);33% (10/30);33% (10/30);0% (0/30);0% (0/30);0% (0/30);67% (20/30);0% (0/30);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);0% (0/19);5% (1/19);3% (1/30);0% (0/30);7% (2/30);3% (1/30);3% (1/30);27% (8/30);3% (1/30);7% (2/30);7% (2/30);10% (3/30);0% (0/30);0% (0/30);3% (1/30);27% (8/30);0% (0/30);4% (1/23);4% (1/23);22% (5/23);0% (0/23);44% (10/23);0% (0/23);0% (0/23);4% (1/23);22% (5/23);23% (7/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);7% (2/30);60% (18/30);67% (20/30);97% (29/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);46;7;7 weeks;60% (3/5);40% (2/5);67% (6/9);15,06;80% (4/5);0% (0/5);60% (3/5);20% (1/5);75% (3/4);25% (1/4);0% (0/4);50% (1/2);0% (0/2);50% (1/2);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);0% (0/0);100% (5/5);0% (0/5);60% (3/5);20% (1/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);80% (4/5);20% (1/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);100% (5/5);0% (0/5);75% (3/4);25% (1/4);0% (0/5);100% (5/5);77% (23/30);70% (21/30);100% (5/5);0% (0/5);100% (18/18);50% (10/20);90% (9/10);35% (7/20);20% (4/20);45% (9/20);0% (0/20);25% (5/20);89% (16/18)
